Id,GroupId,MatchId,Assists,Boosts,Damage,TotalKnocks,HeadshotKills,Heals,KillPoints,Kills,KillStreaks,LongestKill,MatchDuration,MatchType,NumGroups,RankPoints,Revives,RideDistance,RoadKills,SwimDistance,TeamKills,VehicleDestroys,WalkDistance,WeaponsAcquired,WinPoints,WinPercentage
7f96b2f878858a,4d4b580de459be,a10357fd1a4a91,0,0,0,0,0,0,1241,0,0,0,1306,squad-fpp,26,-1,0,0,0,0,0,0,244.8,1,1466,0.4444
eef90569b9d03c,684d5656442f9e,aeb375fc57110c,0,0,91.47,0,0,0,0,0,0,0,1777,squad-fpp,25,1484,0,0.0045,0,11.04,0,0,1434,5,0,0.64
1eaf90ac73de72,6a4a42c3245a74,110163d8bb94ae,1,0,68,0,0,0,0,0,0,0,1318,duo,47,1491,0,0,0,0,0,0,161.8,2,0,0.7755
4616d365dd2853,a930a9c79cd721,f1f1f4ef412d7e,0,0,32.9,0,0,0,0,0,0,0,1436,squad-fpp,30,1408,0,0,0,0,0,0,202.7,3,0,0.1667
315c96c26c9aac,de04010b3458dd,6dc8ff871e21e6,0,0,100,0,0,0,0,1,1,58.53,1424,solo-fpp,95,1560,0,0,0,0,0,0,49.75,2,0,0.1875
ff79c12f326506,289a6836a88d27,bac52627a12114,0,0,100,1,1,0,0,1,1,18.44,1395,squad-fpp,28,1418,0,0,0,0,0,0,34.7,1,0,0.037
95959be0e21ca3,2c485a1ad3d0f1,a8274e903927a2,0,0,0,0,0,0,1262,0,0,0,1316,squad-fpp,28,-1,0,0,0,0,0,0,13.5,1,1497,0
311b84c6ff4390,eaba5fcb7fc1ae,292611730ca862,0,0,8.538,0,0,0,1000,0,0,0,1967,solo-fpp,92,-1,0,2004,0,0,0,0,1089,6,1500,0.7368
1a68204ccf9891,47cfbb04e1b1a2,df014fbee741c6,0,0,51.6,0,0,0,0,0,0,0,1375,squad,27,1493,0,0,0,0,0,0,799.9,4,0,0.3704
e5bb5a43587253,759bb6f7514fd2,3d3031c795305b,0,0,37.27,0,0,0,0,0,0,0,1930,squad,27,1349,0,0,0,0,0,0,65.67,1,0,0.2143
2b574d43972813,c549efede67ad3,2dd6ddb8320fc1,0,0,28.38,0,0,0,0,0,0,0,1811,squad-fpp,29,1475,0,0,0,0,0,0,868.3,9,0,0.3929
8de328a74658a9,f643df9df3877c,80170383d90003,0,0,137.9,1,0,0,0,0,0,0,1384,duo-fpp,46,1488,0,0,0,0,0,0,451.7,1,0,0.4043
ce4f6ac165705e,da24cdb91969cc,535b5dbd965a94,0,0,0,0,0,0,0,0,0,0,1774,squad-fpp,28,1766,0,6639,0,0,0,0,2784,6,0,0.9286
b7807186e3f679,3c08e461874749,2c30ddf481c52d,0,1,324.2,0,1,5,986,4,1,49.83,1886,solo-fpp,94,-1,0,1228,0,76.84,0,0,2050,6,1462,0.875
8e244ac61b6aab,d40d0c7d3573a1,94e1c1cc443c65,0,1,122.8,1,0,2,1411,1,1,37.91,1458,squad-fpp,30,-1,1,1237,0,60.29,0,0,1666,5,1531,0.9
12d8d4bd94312c,fe52d481bae68b,6fd9e765ddd0c5,0,0,80.71,1,0,0,0,0,0,0,1313,duo-fpp,48,1495,1,0,0,0,0,0,105.1,5,0,0.2766
62f2f0917d84b2,f61b698274d9f5,1d6cfe0f6f23b0,0,2,81.71,1,0,14,0,1,1,9.158,1882,squad-fpp,26,1436,0,519.9,0,0,0,0,3674,7,0,0.7308
92022479b92ce7,2f2c33f548c4b9,07948d723b9c0f,0,3,254.3,0,0,12,0,2,1,36,1371,solo-fpp,95,1536,0,2367,0,15.29,0,0,1787,3,0,0.8211
7bd224781f064b,6dde607d151819,733af30cc00099,0,0,0,0,0,0,0,0,0,0,1301,squad-fpp,26,1355,0,0,0,0,0,0,137.4,2,0,0.1923
71cbdbc3b263e5,7b61f74b51906c,a329ac99449ad7,0,1,65.28,0,0,1,1349,0,0,0,1322,squad-fpp,28,0,0,0,0,20.85,0,0,3310,3,1479,0.931
02ace8c6e58461,a4bc548028f800,80f2b8448e474b,0,4,269.1,0,1,8,0,2,1,7.438,1890,duo-fpp,48,1491,1,2734,0,0,0,0,1794,5,0,0.6383
